five_p_cleav_1,five_p_cleav_compl_1,five_p_cleav_2,five_p_cleav_compl_2,five_p_cleav_prob,five_p_cleav_ss,five_p_non_cleav_1,five_p_non_cleav_compl_1,five_p_non_cleav_2,five_p_non_cleav_compl_2,five_p_non_cleav_prob,five_p_non_cleav_ss,three_p_cleav_1,three_p_cleav_compl_1,three_p_cleav_2,three_p_cleav_compl_2,three_p_cleav_prob,three_p_cleav_ss,three_p_non_cleav_1,three_p_non_cleav_compl_1,three_p_non_cleav_2,three_p_non_cleav_compl_2,three_p_non_cleav_prob,three_p_non_cleav_ss
"[3, 4, 3, 2, 3, 4, 3, 4, 5, 6]","[2, 3, 4]","[-2, -3, -4, -5, -4, -5]","[2, 1, 2, 1, 0, -1, 0, -1, -2]","[0.5361234923847994, -1, 0.5702251966975633, 0.5979054765662342, 0.6029832173067761, 0.618863923691344, 0.6194328430015147, 0.6197913349598657, 0.6201351653577899, 0.6097349329647453, 0.5198797351287697, -1, -1, -1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 1, 2, 3, 4, 3, 4, 3, 2, 3, 4]","[1, 2, 3, 4]","[-1, -2, -3, -4, -5]","[4, 3, 2, 1, 2, 1, 0, -1]","[0.7669216708524852, -1, -1, -1, 0.5384983385350673, 0.5513173892144145, 0.5361234923847994, -1, 0.5702251966975633, 0.5979054765662342, 0.6029832173067761, 0.618863923691344, 0.6194328430015147, 0.6197913349598657]","[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[6, 7, 8, 9, 10]","[4, 5, 6, 5, 6, 7, 6, 5]","[-5, -6, -7, -8, -9, -8, -9, -10, -11, -10, -11]","[-2, -3, -4]","[-1, -1, -1, -1, 0.5198797351287697, 0.6097349329647453, 0.6201351653577899, 0.6197913349598657, 0.6194328430015147, 0.618863923691344, 0.6029832173067761, 0.5979054765662342, 0.5702251966975633, -1]","[0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0]","[8, 9, 10, 11]","[6, 5, 6, 7, 6, 5, 6, 5, 6, 5, 4]","[-9, -8, -9, -10, -11, -10, -11, -12, -13, -14, -13, -12]","[-2, -3, -4, -5]","[0.6201351653577899, 0.6197913349598657, 0.6194328430015147, 0.618863923691344, 0.6029832173067761, 0.5979054765662342, 0.5702251966975633, -1, 0.5361234923847994, 0.5513173892144145, 0.5384983385350673, 0.7669216708524852, 0.8698629841479536, 0.8692424446309759]","[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1]"
"[-3, -2, -1, -2, -3, -2, -1]","[-1, -2, -1, 0, 1, 2, 3]","[-3, -2, -3, -4, -5, -6, -7, -6, -7]","[-4, -5, -6, -7]","[0.997810666151973, 0.9990882626825324, 0.9979792037172986, 0.9971812763566175, 0.9983749483735453, 0.9988385809387552, 0.9982786494404849, 0.9984062514310311, 0.9961039383264023, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[-1, 0, -1, -2, -3, -2, -1, -2]","[-2, -1, -2, -1, 0, 1, 2]","[-1, -2, -3, -2, -3, -4, -5, -6]","[-6, -7, -6, -5, -4, -5, -6, -7]","[0.9979844872553776, 0.9999143231375506, 0.9999711535770375, 0.9995483062092845, 0.9978542985947879, -1, 0.997810666151973, 0.9990882626825324, 0.9979792037172986, 0.9971812763566175, 0.9983749483735453, 0.9988385809387552, 0.9982786494404849, 0.9984062514310311]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 0, 1, 2, 3, 4, 5, 6, 7, 6]","[3, 2, 3, 4, 3]","[-7, -8, -9, -10, -11, -10]","[-7, -8, -9, -10, -11, -12, -11]","[-1, -1, -1, 0.9961039383264023, 0.9984062514310311, 0.9982786494404849, 0.9988385809387552, 0.9983749483735453, 0.9971812763566175, 0.9979792037172986, 0.9990882626825324, 0.997810666151973, -1, 0.9978542985947879]","[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]","[4, 5, 6, 7, 6, 7]","[2, 3, 4, 3, 2, 1, 2, 1, 0]","[-8, -9, -10, -11, -10, -9, -8, -9, -10, -11]","[-9, -10, -11, -12, -11, -12]","[0.9988385809387552, 0.9983749483735453, 0.9971812763566175, 0.9979792037172986, 0.9990882626825324, 0.997810666151973, -1, 0.9978542985947879, 0.9995483062092845, 0.9999711535770375, 0.9999143231375506, 0.9979844872553776, 0.9906650896967283, 0.9732225212726164]","[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]"
"[3, 2, 1, 0]","[-1, 0, 1, 2, 3, 2, 3, 4]","[-2, -3, -4, -5, -6, -5, -6, -7, -6, -5, -6, -7]","[-4, -3, -2]","[0.9966369656013235, 0.9986570977588158, 0.9970320737060431, 0.9970529665245806, 0.9991942267919391, 0.9999048817423717, 0.9989897534356702, 0.9983806627404803, 0.8783204478502346, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[2, 3, 2, 3, 2, 1]","[-1, 0, -1, 0, 1, 2, 3, 2, 3]","[-1, -2, -3, -2, -3, -4, -5, -6, -5, -6]","[-4, -5, -4, -3, -2]","[0.9977326919467815, 0.9992763726578028, 0.9974471027354858, -1, 0.9181551940067453, -1, 0.9966369656013235, 0.9986570977588158, 0.9970320737060431, 0.9970529665245806, 0.9991942267919391, 0.9999048817423717, 0.9989897534356702, 0.9983806627404803]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 2, 3, 2, 3, 4, 5, 6, 5]","[4, 3, 2]","[-6, -5, -4, -3, -2, -1]","[-2, -3, -4, -3, -4, -5, -6, -7, -6]","[-1, -1, -1, 0.8783204478502346, 0.9983806627404803, 0.9989897534356702, 0.9999048817423717, 0.9991942267919391, 0.9970529665245806, 0.9970320737060431, 0.9986570977588158, 0.9966369656013235, -1, 0.9181551940067453]","[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]","[3, 2, 3, 4, 5, 6, 5, 6, 5]","[3, 2, 1, 2, 3]","[-3, -2, -1, -2, -1, -2, -3]","[-4, -3, -4, -5, -6, -7, -6, -7, -8]","[0.9999048817423717, 0.9991942267919391, 0.9970529665245806, 0.9970320737060431, 0.9986570977588158, 0.9966369656013235, -1, 0.9181551940067453, -1, 0.9974471027354858, 0.9992763726578028, 0.9977326919467815, 0.9979709479402591, 0.9987192353544347]","[-1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1]"
"[-11, -10, -11, -12, -13, -12, -13]","[-6, -7, -8, -7, -8, -9]","[6, 5, 4, 3, 4, 5, 4, 3, 2]","[12, 13, 14, 15, 14]","[-1, 0.881846270988377, 0.963668968736977, 0.9801016088978205, 0.9799271605386995, 0.9316790322607189, -1, -1, 0.9058572067370286, 0.9097632560889307, 0.9082229817348102, 0.897264020284568, -1, -1]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[-9, -8, -9, -10, -11, -10, -11, -12]","[-4, -5, -6, -7, -8, -7]","[4, 5, 6, 5, 4, 3, 4, 5]","[9, 10, 11, 12, 13, 14]","[-1, 0.9711482273117459, 0.9997173204411951, 0.9997962559528253, 0.9997246481352814, 0.9934805619307707, -1, 0.881846270988377, 0.963668968736977, 0.9801016088978205, 0.9799271605386995, 0.9316790322607189, -1, -1]","[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[-14, -15, -16, -17, -16, -17, -18, -19]","[-9, -8, -9, -10, -11, -12]","[1, 0, 1, 2, 3, 4, 5, 6]","[14, 13, 12, 11, 10, 9, 10]","[-1, 0.897264020284568, 0.9082229817348102, 0.9097632560889307, 0.9058572067370286, -1, 0.9316790322607189, 0.9799271605386995, 0.9801016088978205, 0.963668968736977, 0.881846270988377, -1, 0.9934805619307707, 0.9997246481352814]","[0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1]","[-17, -16, -17, -18, -19, -20, -21]","[-9, -10, -11, -12, -13, -14, -15, -16]","[2, 3, 4, 5, 6, 7, 8, 9, 8]","[12, 11, 10, 9, 10, 11]","[0.9316790322607189, 0.9799271605386995, 0.9801016088978205, 0.963668968736977, 0.881846270988377, -1, 0.9934805619307707, 0.9997246481352814, 0.9997962559528253, 0.9997173204411951, 0.9711482273117459, -1, 0.9619062229969099, 0.9969949750225396]","[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1]"
"[-4, -5, -6, -7, -8, -9, -10]","[-7, -6, -7, -8]","[3, 2, 3, 4, 5, 4, 5, 6, 5]","[3, 4, 5, 6, 7]","[0.9994893544099406, 0.9999427818560622, 0.9945535003536623, -1, 0.5855247358818275, -1, 0.7887399891544841, 0.7914969252076307, 0.7899172410607552, -1, -1, -1, -1, -1]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[-1, -2, -3, -4, -5, -6, -7]","[-4, -5, -6, -7, -6, -7, -8]","[2, 1, 2, 3, 2, 3, 4, 5, 4]","[1, 2, 3, 4, 5, 6]","[0.9975513338478466, 0.9996905345296163, 0.9965513186529922, -1, 0.9997489597157514, 0.9999504380501474, 0.9994893544099406, 0.9999427818560622, 0.9945535003536623, -1, 0.5855247358818275, -1, 0.7887399891544841, 0.7914969252076307]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[-9, -10, -11, -12, -11, -12, -13, -14]","[-8, -9, -10, -11, -12]","[6, 5, 6, 7, 8, 7, 8, 9]","[7, 8, 9, 8, 9, 10]","[-1, -1, 0.7899172410607552, 0.7914969252076307, 0.7887399891544841, -1, 0.5855247358818275, -1, 0.9945535003536623, 0.9999427818560622, 0.9994893544099406, 0.9999504380501474, 0.9997489597157514, -1]","[0, 0, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, 0]","[-10, -11, -12, -11, -12, -13, -14, -15, -16, -17, -18]","[-11, -12, -13, -14]","[7, 8, 9, 10, 11]","[7, 8, 9, 8, 9, 10, 9, 10, 11]","[0.5855247358818275, -1, 0.9945535003536623, 0.9999427818560622, 0.9994893544099406, 0.9999504380501474, 0.9997489597157514, -1, 0.9965513186529922, 0.9996905345296163, 0.9975513338478466, -1, 0.27813056813961146, 0.5541510832269518]","[-1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1]"
"[-3, -4, -5, -6, -7]","[-3, -4, -5, -6, -7, -8, -7, -8]","[2, 3, 4, 5, 6, 5, 4, 3, 2, 3, 2]","[0, 1]","[0.9980761869391698, 0.9980318089664317, 0.9937735319875212, -1, 0.845543709877774, 0.8458102762174503, 0.8391901163583402, 0.8222383838764923, 0.7828744866579268, -1, -1, -1, -1, -1]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[-1, -2, -3, -4, -5]","[-2, -3, -4, -3, -4, -5, -6, -7, -8, -7]","[2, 1, 2, 3, 2, 3, 4, 5, 6, 5, 4]","[-1, 0, 1]","[0.999919040717716, 0.9976647090825367, -1, -1, 0.9963638222142369, 0.9976133309621074, 0.9980761869391698, 0.9980318089664317, 0.9937735319875212, -1, 0.845543709877774, 0.8458102762174503, 0.8391901163583402, 0.8222383838764923]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[-8, -9, -10, -9, -10, -11, -12, -11, -12, -13, -12, -13]","[-8, -9]","[3, 2, 1, 2]","[1, 0, -1, -2, -1, 0, 1, 2, 1, 2]","[-1, -1, -1, 0.7828744866579268, 0.8222383838764923, 0.8391901163583402, 0.8458102762174503, 0.845543709877774, -1, 0.9937735319875212, 0.9980318089664317, 0.9980761869391698, 0.9976133309621074, 0.9963638222142369]","[0, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1]","[-10, -11, -12, -11, -12, -13, -12, -13, -12, -11, -12, -11, -12]","[-8, -9, -10]","[1, 2, 3]","[-2, -1, 0, 1, 2, 1, 2, 1, 0, 1]","[0.8458102762174503, 0.845543709877774, -1, 0.9937735319875212, 0.9980318089664317, 0.9980761869391698, 0.9976133309621074, 0.9963638222142369, -1, -1, 0.9976647090825367, 0.999919040717716, 0.9994864104444235, 0.9999738824878904]","[-1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1]"
"[-3, -4, -5, -6, -7, -6, -5]","[-6, -5, -4, -5]","[2, 1, 0, -1, 0, -1, 0, 1, 2]","[0, 1, 2, 3, 4]","[0.9993744473875852, 0.9940006114972947, -1, 0.9766001835815726, 0.9983746747505118, 0.9977895597115772, 0.986484288507296, -1, -1, -1, 0.47119550606025845, -1, -1, -1]","[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[-3, -2, -3, -4, -5, -6, -7]","[-5, -4, -5, -6, -5, -4]","[2, 3, 2, 1, 2, 1, 0, -1, 0]","[0, -1, 0, 1, 2, 3, 4]","[-1, 0.9372968279925264, 0.9976907733788217, 0.9999637738866481, 0.9993143962576477, 0.999854360304655, 0.9993744473875852, 0.9940006114972947, -1, 0.9766001835815726, 0.9983746747505118, 0.9977895597115772, 0.986484288507296, -1]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[-5, -4, -5, -4, -3, -4, -5]","[-5, -6, -7, -8, -9]","[2, 1, 2, 1, 2, 3, 4, 5, 6]","[4, 5, 4, 3, 4, 3]","[-1, 0.47119550606025845, -1, -1, -1, 0.986484288507296, 0.9977895597115772, 0.9983746747505118, 0.9766001835815726, -1, 0.9940006114972947, 0.9993744473875852, 0.999854360304655, 0.9993143962576477]","[0, -1, 0, 0, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1]","[-5, -4, -3, -4, -5, -4, -5]","[-6, -7, -8, -9, -10, -9, -10]","[2, 3, 4, 5, 6, 7, 6, 5, 4]","[5, 4, 3, 4, 3, 2, 3]","[0.9977895597115772, 0.9983746747505118, 0.9766001835815726, -1, 0.9940006114972947, 0.9993744473875852, 0.999854360304655, 0.9993143962576477, 0.9999637738866481, 0.9976907733788217, 0.9372968279925264, -1, 0.9971406743332918, 0.9989994921691666]","[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]"
"[-4, -5, -6, -5, -4, -5, -4, -3]","[0, 1, 2]","[-3, -4, -5, -6, -7, -8, -9, -10]","[-1, 0, 1, 0, 1]","[0.9894265381620194, -1, 0.9656673716840989, 0.9725464950765168, 0.9676342458756798, 0.8983603843012629, -1, 0.6476287644033436, -1, -1, -1, -1, -1, -1]","[1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[-1, -2, -3, -4, -5, -6, -5, -4, -5]","[-1, 0, -1, 0, 1, 2]","[-2, -3, -2, -3, -4, -5, -6]","[-2, -1, 0, 1, 0, 1]","[0.9980363977708261, 0.9946112924778023, -1, -1, 0.9934678344320561, 0.9943142609957413, 0.9894265381620194, -1, 0.9656673716840989, 0.9725464950765168, 0.9676342458756798, 0.8983603843012629, -1, 0.6476287644033436]","[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]","[-4, -3, -2, -1, 0, 1, 0]","[2, 1, 2, 1, 0]","[-8, -9, -10, -11, -10, -11, -10, -9, -8]","[1, 0, -1, -2, -1]","[-1, -1, -1, -1, 0.6476287644033436, -1, 0.8983603843012629, 0.9676342458756798, 0.9725464950765168, 0.9656673716840989, -1, 0.9894265381620194, 0.9943142609957413, 0.9934678344320561]","[0, 0, 0, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1]","[-2, -1, 0, 1, 0, 1, 0, 1, 0]","[1, 2, 1, 0, -1, 0]","[-10, -11, -10, -9, -8, -7, -8]","[1, 0, -1, -2, -1, -2, -1]","[0.8983603843012629, 0.9676342458756798, 0.9725464950765168, 0.9656673716840989, -1, 0.9894265381620194, 0.9943142609957413, 0.9934678344320561, -1, -1, 0.9946112924778023, 0.9980363977708261, 0.9991205496070668, 0.9999783389157871]","[-1, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, -1]"
"[-8, -7, -8]","[-8, -9, -8, -9, -10, -9, -10]","[9, 10, 9, 8, 9, 8, 9, 8, 7, 8, 9, 8, 9]","[6, 7]","[-1, 0.9963114648247275, 0.9990691956808121, 0.9982039419397506, 0.9996434472137419, 0.9976250622940903, 0.9946205572754527, 0.9916730375062919, -1, -1, -1, -1, -1, -1]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[-6, -7, -8, -7, -8]","[-5, -6, -7, -8, -9, -8, -9, -10, -9, -10]","[5, 6, 7, 8, 9, 10, 9, 8, 9, 8, 9]","[6, 7, 6, 7]","[-1, 0.920912569933088, 0.9370572163344917, 0.999681504227808, 0.9996891890734692, 0.997919281807728, -1, 0.9963114648247275, 0.9990691956808121, 0.9982039419397506, 0.9996434472137419, 0.9976250622940903, 0.9946205572754527, 0.9916730375062919]","[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[-8, -7, -8, -9, -8, -9, -10, -9, -10, -11, -12, -13]","[-10, -11]","[8, 7, 8, 9]","[7, 8, 7, 8, 7, 6, 7, 8, 9, 10]","[-1, -1, -1, -1, 0.9916730375062919, 0.9946205572754527, 0.9976250622940903, 0.9996434472137419, 0.9982039419397506, 0.9990691956808121, 0.9963114648247275, 0.997919281807728, 0.9996891890734692, 0.999681504227808]","[0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-9, -8, -9, -10, -9, -10, -11, -12, -13, -14]","[-11, -12, -13, -14]","[9, 8, 9, 10, 11, 12]","[8, 7, 8, 7, 6, 7, 8, 9, 10, 11]","[0.9976250622940903, 0.9996434472137419, 0.9982039419397506, 0.9990691956808121, 0.9963114648247275, 0.997919281807728, 0.9996891890734692, 0.999681504227808, 0.9370572163344917, 0.920912569933088, -1, -1, 0.9940608055599576, 0.9997114974554243]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1]"
"[-5, -6, -7, -8, -9, -10, -9]","[-12, -13, -14, -15, -16, -17]","[3, 4, 5, 6, 7, 6, 7, 8, 9]","[6, 7, 8, 9, 8]","[0.9997813885678032, 0.9899517403482215, 0.927156391664898, 0.955616221738276, 0.9745304578786402, 0.9907349753061796, 0.9869687587946698, -1, -1, 0.8128304701984508, 0.8199441319252587, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[-3, -4, -5, -6, -7, -8, -9]","[-9, -10, -11, -12, -13, -14, -15, -16]","[3, 2, 3, 2, 3, 4, 5, 6, 7]","[4, 5, 6, 7, 8, 9]","[0.8794032423225612, 0.904508649632128, -1, 0.8822525914472211, 0.9996228821392908, 0.99981944080405, 0.9997813885678032, 0.9899517403482215, 0.927156391664898, 0.955616221738276, 0.9745304578786402, 0.9907349753061796, 0.9869687587946698, -1]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[-9, -10, -11, -12, -13, -12, -13, -14]","[-17, -18, -19, -20, -21]","[8, 9, 10, 9, 10, 11, 12, 13]","[8, 9, 10, 11, 12, 13]","[-1, -1, 0.8199441319252587, 0.8128304701984508, -1, 0.9869687587946698, 0.9907349753061796, 0.9745304578786402, 0.955616221738276, 0.927156391664898, -1, -1, 0.9899517403482215, 0.9997813885678032]","[0, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1]","[-12, -13, -12, -13, -14, -15, -16, -15, -16]","[-18, -19, -20, -21, -22, -23]","[9, 10, 11, 12, 13, 14, 15]","[10, 11, 12, 13, 14, 13, 12]","[0.9907349753061796, 0.9745304578786402, 0.955616221738276, 0.927156391664898, -1, -1, 0.9899517403482215, 0.9997813885678032, 0.99981944080405, 0.9996228821392908, 0.8822525914472211, -1, 0.904508649632128, 0.8794032423225612]","[-1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1]"
"[0, 1, 0, -1, -2, -3, -4, -3, -2, -1]","[-3, -4, -3, -4]","[3, 4, 3, 4, 3, 2]","[0, 1, 2, 1]","[-1, 0.9171815261681755, 0.9192982389421971, -1, 0.8962187235095534, 0.9004204473636941, 0.8997992313462524, 0.7241133646940089, -1, -1, -1, -1, -1, -1]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 1, 0, -1, -2, -3]","[-4, -5, -4, -3, -4, -3, -4]","[3, 4, 5, 4, 3, 4, 3, 4]","[0, 1, 0, 1, 2, 1]","[-1, 0.9953134188365448, 0.9986130977465015, 0.9988392572309134, 0.9998594928409877, 0.9414663458907104, -1, 0.9171815261681755, 0.9192982389421971, -1, 0.8962187235095534, 0.9004204473636941, 0.8997992313462524, 0.7241133646940089]","[0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[-1, 0, 1, 0, 1, 0, 1, 0]","[-4, -5, -6, -7, -6]","[2, 3, 4, 3, 4, 5, 6, 5]","[1, 2, 1, 2]","[-1, -1, -1, -1, 0.7241133646940089, 0.8997992313462524, 0.9004204473636941, 0.8962187235095534, -1, -1, 0.9192982389421971, 0.9171815261681755, -1, 0.9414663458907104]","[0, 0, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1]","[0, 1, 0, 1, 0, 1, 2, 1, 2]","[-5, -6, -7, -6, -7]","[3, 4, 5, 6, 5, 6, 7]","[2, 1, 2, 1, 0, 1, 0]","[0.9004204473636941, 0.8962187235095534, -1, -1, 0.9192982389421971, 0.9171815261681755, -1, 0.9414663458907104, 0.9998594928409877, 0.9988392572309134, 0.9986130977465015, 0.9953134188365448, -1, 0.8552696920978621]","[-1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1]"
"[2, 1, 2, 1, 0, 1, 0, -1, 0, 1, 2]","[-5, -4, -3]","[5, 4, 3, 2, 3]","[-2, -1, -2, -1, -2, -3]","[0.990286830555232, 0.9912584767969737, 0.9907745525024259, 0.989815411262907, 0.9837758638024148, 0.9649997018556389, 0.9327736201469975, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[2, 1, 2, 1, 2, 1, 0, 1, 0]","[-4, -5, -4, -3]","[3, 4, 3, 4, 5, 4, 3]","[-2, -1, -2, -1, -2, -1, -2, -3]","[0.9930560599856492, 0.955562080471274, -1, -1, -1, 0.9701292277775677, 0.990286830555232, 0.9912584767969737, 0.9907745525024259, 0.989815411262907, 0.9837758638024148, 0.9649997018556389, 0.9327736201469975, -1]","[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[2, 3, 2, 3, 4, 5, 6, 5, 6]","[-3, -2, -3, -4, -3, -4]","[4, 3, 2, 1, 2, 1, 2]","[-3, -4, -5, -4]","[-1, -1, -1, -1, -1, 0.9327736201469975, 0.9649997018556389, 0.9837758638024148, 0.989815411262907, 0.9907745525024259, 0.9912584767969737, 0.990286830555232, 0.9701292277775677, -1]","[0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0]","[4, 5, 6, 5, 6, 7, 8]","[-2, -3, -4, -3, -4, -3, -4, -3]","[2, 1, 2, 1, 2, 1, 0, 1, 0]","[-3, -4, -5, -4, -5]","[0.9649997018556389, 0.9837758638024148, 0.989815411262907, 0.9907745525024259, 0.9912584767969737, 0.990286830555232, 0.9701292277775677, -1, -1, -1, 0.955562080471274, 0.9930560599856492, 0.993345228488995, 0.9943392517315601]","[-1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1]"
"[-3, -4, -3, -4, -5, -4, -5]","[2, 1, 2, 3, 2]","[-2, -3, -2, -3, -4, -3, -2, -1, -2]","[3, 4, 3, 4, 5]","[0.9990904099444562, 0.9996910340376374, 0.9999678715863914, 0.9986986784400409, -1, 0.9965021762668296, 0.9977304826314606, 0.9972214503849774, 0.9849570372527469, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[-3, -4, -3, -2, -3, -4, -3, -4, -5]","[2, 1, 2, 1, 2, 3]","[-2, -1, -2, -3, -2, -3, -4]","[2, 3, 2, 3, 4, 3, 4, 5]","[0.9979504861768008, 0.9999666960987795, 0.9978403878895988, 0.9294610417115856, -1, 0.9967465840588158, 0.9990904099444562, 0.9996910340376374, 0.9999678715863914, 0.9986986784400409, -1, 0.9965021762668296, 0.9977304826314606, 0.9972214503849774]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[-5, -4, -3, -4, -3, -2, -3, -2]","[2, 1, 0, 1, 0, -1]","[-2, -3, -2, -1, -2, -1, 0, 1]","[5, 6, 5, 4, 5, 4]","[-1, -1, 0.9849570372527469, 0.9972214503849774, 0.9977304826314606, 0.9965021762668296, -1, 0.9986986784400409, 0.9999678715863914, 0.9996910340376374, 0.9990904099444562, 0.9967465840588158, -1, 0.9294610417115856]","[0, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1]","[-3, -2, -3, -2, -1]","[2, 1, 0, 1, 0, -1, 0, -1]","[-2, -3, -2, -1, -2, -1, 0, 1, 0, 1, 2]","[5, 4, 5, 4, 3]","[-1, 0.9986986784400409, 0.9999678715863914, 0.9996910340376374, 0.9990904099444562, 0.9967465840588158, -1, 0.9294610417115856, 0.9978403878895988, 0.9999666960987795, 0.9979504861768008, -1, 0.8737478070507598, 0.9971468034425598]","[0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1]"
