five_p_cleav_1,five_p_cleav_compl_1,five_p_cleav_prob,five_p_non_cleav_1,five_p_non_cleav_compl_1,five_p_non_cleav_prob,three_p_cleav_1,three_p_cleav_compl_1,three_p_cleav_prob,three_p_non_cleav_1,three_p_non_cleav_compl_1,three_p_non_cleav_prob
"[9, 10, 9, 8, 7, 5, 3, 2, 0, 1, 0, -2, -4, -2, -3]","[-9, -9.999978953554086, -8.999987591748488, -7.999997813828567, -7.0000230764903275, -5.003514856401026, -3.008047648419609, -2.011635468465726, -1.2636227769645103, -2.955875382059464, -2.089278098851425, -1.3482967868855855, -1.3482967868855855, -1.3482967868855855, -1.3482967868855855]","[0.999978953554086, 0.9999913618055987, 0.9999897779199203, 0.9999747373382399, 0.9982541100446507, 0.9977336039907085, 0.9964121799538831, 0.7480126915012157, 0.8461263025474767, 0.8665972832080386, 0.7409813119658398, -1, -1, -1]","[0, 1, 3, 4, 5, 7, 9, 10, 9, 8, 7, 5, 3, 2, 0]","[0, -0.9999664473494948, -2.9993634749163776, -3.999340337044005, -4.999324101124107, -6.997906710750022, -8.99564556616771, -9.995624519721796, -8.995633157916197, -7.995643379996277, -6.995668642658037, -4.999160422568735, -3.0036932145873183, -2.007281034633435, -1.2592683431322194]","[0.9999664473494948, 0.9996985137834414, 0.9999768621276273, 0.9999837640801024, 0.9992913048129575, 0.9988694277088436, 0.999978953554086, 0.9999913618055987, 0.9999897779199203, 0.9999747373382399, 0.9982541100446507, 0.9977336039907085, 0.9964121799538831, 0.7480126915012157]","[0, 1, -1, 1, -1, -3, -2, -1, 1, 3, 4, 5, 6, 5, 3]","[-3, -3.866597283208039, -3.020470980660562, -3.020470980660562, -3.020470980660562, -3.020470980660562, -4.516496363662993, -5.512908543616877, -7.508375751598294, -9.504883971687596, -10.504858709025836, -11.504848486945756, -12.504839848751354, -11.504860895197268, -9.507122039779581]","[0.8665972832080386, 0.8461263025474767, -1, -1, -1, 0.7480126915012157, 0.9964121799538831, 0.9977336039907085, 0.9982541100446507, 0.9999747373382399, 0.9999897779199203, 0.9999913618055987, 0.999978953554086, 0.9988694277088436]","[-2, -1, 1, 3, 4, 5, 6, 5, 3, 1, 0, -1, -3, -4, -6]","[-5, -5.996412179953883, -7.991879387935301, -9.988387608024603, -10.988362345362841, -11.988352123282763, -12.988343485088361, -11.988364531534275, -9.990625676116588, -7.992043066490673, -6.992059302410571, -5.992082440282943, -3.9926854127160607, -2.992718965366566, -0.9933235537913525]","[0.9964121799538831, 0.9977336039907085, 0.9982541100446507, 0.9999747373382399, 0.9999897779199203, 0.9999913618055987, 0.999978953554086, 0.9988694277088436, 0.9992913048129575, 0.9999837640801024, 0.9999768621276273, 0.9996985137834414, 0.9999664473494948, 0.9996977057876067]"
"[-12, -11, -12, -14, -15, -17, -18, -19, -21, -22, -23, -21, -20, -21, -23]","[11, 10.000019470388484, 10.999999756057665, 12.999396776894827, 13.99936321730442, 15.998758777635262, 16.998736138726873, 17.998289256580176, 19.71175233523902, 20.704994737660897, 21.7049117859259, 19.705952549132093, 18.70611251059897, 19.691468009601735, 19.691468009601735]","[0.9999805296115157, 0.9999802856691818, 0.9996985104185805, 0.9999664404095934, 0.9996977801654205, 0.9999773610916103, 0.999553117853304, 0.8567315393294223, 0.9932424024218753, 0.9999170482650044, 0.9994796183969029, 0.9998400385331223, 0.9853554990027614, -1]","[-9, -8, -10, -11, -13, -14, -12, -11, -12, -14, -15, -17, -18, -19, -21]","[8, 7.0000459973577565, 8.999531567191758, 9.999498009370432, 11.998893772910293, 12.998859851652346, 10.999839414825665, 9.999858885214149, 10.99983917088333, 12.999236191720492, 13.999202632130086, 15.998598192460927, 16.998575553552538, 17.998128671405844, 19.711591750064684]","[0.9999540026422435, 0.9997427849170006, 0.9999664421786751, 0.9996978817699297, 0.9999660787420542, 0.999510218413341, 0.9999805296115157, 0.9999802856691818, 0.9996985104185805, 0.9999664404095934, 0.9996977801654205, 0.9999773610916103, 0.999553117853304, 0.8567315393294223]","[-24, -23, -22, -24, -25, -23, -22, -21, -19, -18, -16, -15, -16, -18, -17]","[22, 21.000082951734996, 20.00684054931312, 20.00684054931312, 20.00684054931312, 18.293377470654278, 17.29382435280097, 16.293846991709362, 14.294451431378521, 13.294484990968927, 11.295087970131766, 10.295107684462584, 11.2950882140741, 13.294108650900782, 12.294142572158728]","[0.9999170482650044, 0.9932424024218753, -1, -1, 0.8567315393294223, 0.999553117853304, 0.9999773610916103, 0.9996977801654205, 0.9999664404095934, 0.9996985104185805, 0.9999802856691818, 0.9999805296115157, 0.999510218413341, 0.9999660787420542]","[-22, -21, -19, -18, -16, -15, -16, -18, -17, -15, -14, -12, -13, -15, -13]","[17, 16.00002263890839, 14.000627078577548, 13.000660638167956, 11.001263617330794, 10.001283331661613, 11.001263861273127, 13.00028429809981, 12.000318219357755, 10.000922455817896, 9.000956013639222, 7.001470443805221, 8.001424446447466, 10.000229874850724, 8.001424559611474]","[0.9999773610916103, 0.9996977801654205, 0.9999664404095934, 0.9996985104185805, 0.9999802856691818, 0.9999805296115157, 0.999510218413341, 0.9999660787420542, 0.9996978817699297, 0.9999664421786751, 0.9997427849170006, 0.9999540026422435, 0.9994027142016298, 0.9994026576196259]"
"[-14, -13, -14, -16, -17, -19, -20, -21, -23, -22, -20, -21, -22, -20, -19]","[14, 13.000019470404878, 13.999999755314716, 15.999396767533021, 16.999363190981217, 18.99875570205781, 19.998481950830808, 20.997791317277716, 22.710862234467886, 22.710862234467886, 22.710862234467886, 23.703976015062956, 24.703765146942125, 22.704786623302674, 21.704932650914625]","[0.9999805295951228, 0.9999802849098399, 0.9996985061091521, 0.9999664234481973, 0.999696255538296, 0.9997262487729983, 0.9993093664469065, 0.8565354585950855, -1, -1, 0.9931137805950703, 0.9997891318791686, 0.999489261819726, 0.9998539723880485]","[-11, -10, -12, -13, -15, -16, -14, -13, -14, -16, -17, -19, -20, -21, -23]","[11, 10.00004599735776, 11.999531567191756, 12.999498009370429, 14.998893772910284, 15.99885985165234, 13.999839414823871, 12.999858885228747, 13.999839170138587, 15.999236182356892, 16.99920260580509, 18.99859511688168, 19.99832136565468, 20.997630732101584, 22.710701649291757]","[0.9999540026422409, 0.9997427849169981, 0.9999664421786733, 0.999697881769928, 0.9999660787420551, 0.9995102184142344, 0.9999805295951228, 0.9999802849098399, 0.9996985061091521, 0.9999664234481973, 0.999696255538296, 0.9997262487729983, 0.9993093664469065, 0.8565354585950855]","[-18, -19, -21, -20, -19, -17, -16, -15, -13, -12, -10, -9, -10, -12, -11]","[22, 22.99985397238805, 24.9988324960275, 23.99904336414833, 23.00592958355326, 21.29285866636309, 20.293549299916183, 19.293823051143185, 17.294430540066593, 16.294464116618396, 14.295067104400092, 13.295086819490251, 14.295067349085375, 16.294087785913845, 15.294121707171788]","[0.9998539723880485, 0.999489261819726, 0.9997891318791686, 0.9931137805950703, 0.8565354585950855, 0.9993093664469065, 0.9997262487729983, 0.999696255538296, 0.9999664234481973, 0.9996985061091521, 0.9999802849098399, 0.9999805295951228, 0.9995102184142344, 0.9999660787420551]","[-16, -15, -13, -12, -10, -9, -10, -12, -11, -9, -8, -6, -7, -9, -7]","[20, 19.000273751227002, 17.00088124015041, 16.000914816702213, 14.001517804483909, 13.001537519574068, 14.001518049169192, 16.000538485997662, 15.000572407255607, 13.00117664371575, 12.001210201537077, 10.00172463170308, 11.001678634345321, 13.000484062748576, 11.00167874750933]","[0.9997262487729983, 0.999696255538296, 0.9999664234481973, 0.9996985061091521, 0.9999802849098399, 0.9999805295951228, 0.9995102184142344, 0.9999660787420551, 0.999697881769928, 0.9999664421786733, 0.9997427849169981, 0.9999540026422409, 0.9994027142016272, 0.9994026576196233]"
"[3, 1, 2, 3, 4, 5, 7, 8, 7, 9, 7, 8, 10, 12, 11]","[3, 4.998208876110295, 3.000208638141313, 2.0002599006264146, 1.0002996161036037, 0.00037344934443517275, -1.9970391114255062, -2.9840786338187755, -2.9840786338187755, -2.9840786338187755, -2.9840786338187755, -3.7749259831968507, -5.291719568013017, -6.410600570829363, -6.410600570829363]","[0.9991044380551475, 0.9990001189844909, 0.9999487375148985, 0.9999602845228108, 0.9999261667591688, 0.9987062803849708, 0.9870395223932696, -1, -1, -1, 0.7908473493780753, 0.758396792408083, 0.559440501408173, -1]","[-5, -4, -2, 0, 1, 2, 3, 1, 2, 3, 4, 5, 7, 8, 7]","[9, 8.015829030704563, 6.100097672282755, 6.100097672282755, 5.109249742249038, 4.114206720543179, 3.116731918355746, 5.11494079446604, 3.1169405564970587, 2.11699181898216, 1.1170315344593487, 0.1171053677001801, -1.8803071930697612, -2.8673467154630305, -2.8673467154630305]","[0.9841709692954376, 0.9578656792109038, -1, 0.9908479300337163, 0.9950430217058592, 0.9974748021874332, 0.9991044380551475, 0.9990001189844909, 0.9999487375148985, 0.9999602845228108, 0.9999261667591688, 0.9987062803849708, 0.9870395223932696, -1]","[12, 10, 8, 7, 5, 4, 6, 5, 3, 2, 1, 0, -2, 0, -1]","[-8, -6.881118997183654, -5.364325412367488, -4.5734780629894125, -4.5734780629894125, -4.5734780629894125, -4.5734780629894125, -3.586438540596143, -1.5890259798262019, -0.5890998130670333, 0.4108604714557771, 1.4108092089706759, 2.4098093279551662, 0.4116004518448708, 1.4090752540323042]","[0.559440501408173, 0.758396792408083, 0.7908473493780753, -1, -1, -1, 0.9870395223932696, 0.9987062803849708, 0.9999261667591688, 0.9999602845228108, 0.9999487375148985, 0.9990001189844909, 0.9991044380551475, 0.9974748021874332]","[6, 5, 3, 2, 1, 0, -2, 0, -1, -2, -3, -4, -6, -7, -8]","[-3, -2.0129604776067302, -0.015547916836788911, 0.9843782499223801, 1.9843385344451914, 2.98428727196009, 3.9832873909445814, 1.9850785148342869, 2.98255331702172, 3.9775963387275795, 4.968444268761296, 4.968444268761296, 6.884175627183103, 7.86834659647854, 7.86834659647854]","[0.9870395223932696, 0.9987062803849708, 0.9999261667591688, 0.9999602845228108, 0.9999487375148985, 0.9990001189844909, 0.9991044380551475, 0.9974748021874332, 0.9950430217058592, 0.9908479300337163, -1, 0.9578656792109038, 0.9841709692954376, -1]"
"[-21, -22, -24, -25, -26, -28, -30, -32, -31, -33, -32, -30, -32, -34, -36]","[18, 18.9998415147679, 20.999229844520656, 21.99921528409491, 22.999190663190156, 24.996793361730486, 26.991491073898317, 28.989058588308374, 27.98917771051326, 29.976345389828737, 29.976345389828737, 29.976345389828737, 31.709957634537822, 32.536816847644616, 32.536816847644616]","[0.9998415147679017, 0.9996941648763767, 0.9999854395742556, 0.9999753790952473, 0.9988013492701646, 0.997348856083914, 0.9987837572050298, 0.9998808777951165, 0.9935838396577399, -1, -1, 0.8668061223545414, 0.8268592131067996, -1]","[-12, -14, -13, -15, -17, -19, -21, -22, -24, -25, -26, -28, -30, -32, -31]","[11, 12.998044540218295, 11.000144267370391, 12.997678113570503, 14.992401650266254, 16.989066212899512, 17.987258865059076, 18.987100379826977, 20.98648870957973, 21.986474149153985, 22.98644952824923, 24.98405222678956, 26.97874993895739, 28.97631745336745, 27.976436575572333]","[0.9990222701091473, 0.9989501364239514, 0.9987669231000554, 0.9973617683478756, 0.9983322813166289, 0.9981926521595622, 0.9998415147679017, 0.9996941648763767, 0.9999854395742556, 0.9999753790952473, 0.9988013492701646, 0.997348856083914, 0.9987837572050298, 0.9998808777951165]","[-36, -38, -37, -35, -34, -32, -30, -31, -29, -27, -25, -24, -23, -21, -20]","[33, 33, 31.3462815737864, 29.612669329077317, 29.612669329077317, 29.612669329077317, 27.625501649761837, 28.625382527556955, 26.627815013146897, 24.633117300979066, 22.63551460243874, 21.635539223343493, 20.63555378376924, 18.636165454016485, 17.636323939248584]","[-1, 0.8268592131067996, 0.8668061223545414, -1, -1, 0.9935838396577399, 0.9998808777951165, 0.9987837572050298, 0.997348856083914, 0.9988013492701646, 0.9999753790952473, 0.9999854395742556, 0.9996941648763767, 0.9998415147679017]","[-30, -31, -29, -27, -25, -24, -23, -21, -20, -19, -17, -15, -13, -15, -13]","[27, 27.999880877795118, 26.002313363385056, 24.00761565121723, 22.0100129526769, 21.010037573581652, 20.010052134007395, 18.01066380425464, 17.01082228948674, 15.014436985167617, 13.017772422534359, 11.023048885838607, 9.025515039638496, 10.024465176062446, 8.02642063584415]","[0.9998808777951165, 0.9987837572050298, 0.997348856083914, 0.9988013492701646, 0.9999753790952473, 0.9999854395742556, 0.9996941648763767, 0.9998415147679017, 0.9981926521595622, 0.9983322813166289, 0.9973617683478756, 0.9987669231000554, 0.9989501364239514, 0.9990222701091473]"
"[2, 3, 1, -1, -2, -1, -2, 0, -2, -4, -2, -4, -6, -8, -6]","[-9, -9, -9, -9, -9, -9.991286996031466, -8.99523084963759, -10.985870574938248, -8.99634619390888, -8.003745055247322, -9.91999956719814, -8.412289164600608, -8.412289164600608, -8.412289164600608, -8.412289164600608]","[-1, -1, -1, -1, 0.9912869960314663, 0.9960561463938759, 0.9953198626503291, 0.9947621905146848, 0.992601138661558, 0.9581272559754089, 0.7538552012987653, -1, -1, -1]","[1, -1, 0, 1, -1, 0, 2, 3, 1, -1, -2, -1, -2, 0, -2]","[-10, -8.015643522501684, -8.915626060045083, -8.915626060045083, -8.915626060045083, -8.915626060045083, -8.915626060045083, -8.915626060045083, -8.915626060045083, -8.915626060045083, -8.915626060045083, -9.906913056076549, -8.910856909682673, -10.901496634983332, -8.911972253953962]","[0.9921782387491578, 0.8999825375433985, -1, -1, -1, -1, -1, -1, -1, -1, 0.9912869960314663, 0.9960561463938759, 0.9953198626503291, 0.9947621905146848]","[-8, -6, -4, -6, -5, -3, -5, -4, -5, -6, -7, -5, -3, -5, -3]","[-8, -8, -9.50771040259753, -7.591455890646713, -9.576658167969828, -11.566182548999198, -9.575542823698541, -10.571598970092417, -9.58031197406095, -9.58031197406095, -9.58031197406095, -9.58031197406095, -9.58031197406095, -9.58031197406095, -9.58031197406095]","[-1, 0.7538552012987653, 0.9581272559754089, 0.992601138661558, 0.9947621905146848, 0.9953198626503291, 0.9960561463938759, 0.9912869960314663, -1, -1, -1, -1, -1, -1]","[-5, -4, -5, -6, -7, -5, -3, -5, -3, -4, -2, -3, -2, -1, -3]","[-10, -10.996056146393876, -10.00476915036241, -10.00476915036241, -10.00476915036241, -10.00476915036241, -10.00476915036241, -10.00476915036241, -10.00476915036241, -9.10478661281901, -11.089143090317327, -10.089563716545845, -11.089506476240341, -12.08820490009619, -12.08820490009619]","[0.9960561463938759, 0.9912869960314663, -1, -1, -1, -1, -1, -1, 0.8999825375433985, 0.9921782387491578, 0.9995793737714814, 0.9999427596944964, 0.9986984238558494, -1]"
"[-4, -2, -1, 0, -1, 0, -1, -3, -2, -4, -5, -7, -9, -8, -6]","[4, 4, 4, 3.0008213429145303, 4.000593753320193, 2.002499268790236, 3.002314112848417, 5.000729143650366, 4.001535170200347, 4.6437029502741085, 4.6437029502741085, 4.6437029502741085, 5.418318715025461, 4.520168395604411, 2.790300129532941]","[-1, -1, 0.9991786570854698, 0.9997724104056627, 0.9990472422649783, 0.999814844058181, 0.9992075154009745, 0.9991939734500195, 0.6421677800737617, -1, -1, 0.7746157647513527, 0.8981503194210493, 0.8649341330357354]","[-1, -2, -1, -3, -2, -3, -4, -2, -1, 0, -1, 0, -1, -3, -2]","[2, 2, 1.0030435202367813, 3.0017755160320005, 2.0018912927674646, 3.0017742813715564, 3.9992444660355453, 3.9992444660355453, 3.9992444660355453, 3.0000658089500756, 3.9998382193557385, 2.001743734825782, 3.0015585788839627, 4.999973609685911, 4.000779636235892]","[-1, 0.9969564797632187, 0.9993659978976097, 0.9998842232645361, 0.9998829886040919, 0.9974701846639888, -1, -1, 0.9991786570854698, 0.9997724104056627, 0.9990472422649783, 0.999814844058181, 0.9992075154009745, 0.9991939734500195]","[-6, -7, -6, -7, -6, -7, -5, -4, -6, -5, -6, -4, -5, -4, -3]","[5, 5.898150319421049, 4.3489187899183435, 4.3489187899183435, 3.0645832297708204, 4.06377720322084, 2.065362172418891, 1.0655473283607102, 2.0645945706256885, 1.064822160220026, 2.064000817305496, 2.064000817305496, 2.064000817305496, 1.066530632641507, 0.06664764403741508]","[0.8981503194210493, 0.7746157647513527, -1, 0.6421677800737617, 0.9991939734500195, 0.9992075154009745, 0.999814844058181, 0.9990472422649783, 0.9997724104056627, 0.9991786570854698, -1, -1, 0.9974701846639888, 0.9998829886040919]","[-5, -4, -6, -5, -6, -4, -5, -4, -3, -4, -2, -3, -5, -4, -3]","[1, 0.00018515594181900408, 0.9992323982067973, -0.0005400121988654583, 0.9986386448866044, 0.9986386448866044, 0.9986386448866044, 0.0011684602226155194, -0.9987145283814765, 0.0011696948830596243, -1.99756230091216, -1.000605821148941, 0.7325154508143759, -0.1392249826000047, -0.1392249826000047]","[0.999814844058181, 0.9990472422649783, 0.9997724104056627, 0.9991786570854698, -1, -1, 0.9974701846639888, 0.9998829886040919, 0.9998842232645361, 0.9993659978976097, 0.9969564797632187, 0.8665606359816584, 0.8717404334143806, -1]"
"[0, -1, 1, 0, 1, -1, -2, -1, -2, 0, -2, -1, -2, -1, -2]","[2, 2.999970579223927, 1.0010133290431584, 1.998618153460724, 1.0057028113327375, 1.6884230639364701, 1.6884230639364701, 1.6884230639364701, 1.6884230639364701, 1.6884230639364701, 1.968038922105426, 1.968038922105426, 2.457065237621767, 2.0277367411434146, 2.0277367411434146]","[0.9999705792239267, 0.9994786250903841, 0.9976048244175654, 0.9929153421279864, 0.6827202526037325, -1, -1, -1, -1, 0.279615858168956, -1, 0.489026315516341, 0.4293284964783526, -1]","[4, 3, 2, 3, 2, 1, 0, -1, 1, 0, 1, -1, -2, -1, -2]","[-2, -1.0000152395957338, -5.8954873495498106e-05, -1.0000217334042651, -3.129414592040192e-05, 0.999957401603861, 1.9999458599979443, 2.999916439221871, 1.0009591890411027, 1.998564013458668, 1.0056486713306816, 1.688368923934414, 1.688368923934414, 1.688368923934414, 1.688368923934414]","[0.9999847604042662, 0.9999562847222384, 0.9999627785307696, 0.9999904392583449, 0.9999886957497813, 0.9999884583940835, 0.9999705792239267, 0.9994786250903841, 0.9976048244175654, 0.9929153421279864, 0.6827202526037325, -1, -1, -1]","[-3, -2, 0, 2, 4, 5, 4, 5, 3, 4, 5, 6, 7, 6, 7]","[3, 2.440768283662088, 2.440768283662088, 2.440768283662088, 2.440768283662088, 1.0753277784546231, 2.0682431205826095, 1.0706382961650442, 3.0695955463458127, 2.069624967121886, 1.0696365087278021, 0.0696478129780207, -0.930342626280324, 0.0696201522504456, -0.9303361324717927]","[0.279615858168956, -1, -1, -1, 0.6827202526037325, 0.9929153421279864, 0.9976048244175654, 0.9994786250903841, 0.9999705792239267, 0.9999884583940835, 0.9999886957497813, 0.9999904392583449, 0.9999627785307696, 0.9999562847222384]","[4, 5, 3, 4, 5, 6, 7, 6, 7, 8, 10, 11, 10, 8, 6]","[0, -0.9976048244175654, 1.0013524257632027, 0.0013818465392759771, -0.9986066118548075, -1.9985953076045888, -2.9985857468629336, -1.998622968332164, -2.998579253054402, -3.9985640134586684, -5.997960426933039, -6.997935940202866, -5.999730961698013, -5.999730961698013, -4.066319435410882]","[0.9976048244175654, 0.9994786250903841, 0.9999705792239267, 0.9999884583940835, 0.9999886957497813, 0.9999904392583449, 0.9999627785307696, 0.9999562847222384, 0.9999847604042662, 0.9996982067371856, 0.9999755132698265, 0.9982049785048523, -1, 0.9667057631435659]"
"[0, -1, 1, 0, 1, -1, -2, -1, -2, 0, -2, -1, -2, -1, -2]","[2, 2.9999712429281487, 1.0010126659920102, 1.9986181525435742, 1.0057021513941247, 1.6884228571354822, 1.6884228571354822, 1.6884228571354822, 1.6884228571354822, 1.6884228571354822, 1.96803890029682, 1.96803890029682, 2.4570655305808193, 2.0277367579797896, 2.0277367579797896]","[0.9999712429281485, 0.9994792884680692, 0.997605486551564, 0.9929160011494493, 0.6827207057413573, -1, -1, -1, -1, 0.27961604316133787, -1, 0.48902663028399923, 0.4293287726010297, -1]","[4, 3, 2, 3, 2, 1, 0, -1, 1, 0, 1, -1, -2, -1, -2]","[-2, -1.0000145758814825, -5.762746389281759e-05, -1.0000210696943168, -2.9966717959073463e-05, 0.9999593927486781, 1.9999485148594562, 2.9999197577876044, 1.000961180851466, 1.99856666740303, 1.0056506662535805, 1.688371371994938, 1.688371371994938, 1.688371371994938, 1.688371371994938]","[0.9999854241185175, 0.9999569484175895, 0.9999634422304241, 0.9999911029763578, 0.9999893594666371, 0.999989122110778, 0.9999712429281485, 0.9994792884680692, 0.997605486551564, 0.9929160011494493, 0.6827207057413573, -1, -1, -1]","[-3, -2, 0, 2, 4, 5, 4, 5, 3, 4, 5, 6, 7, 6, 7]","[3, 2.440767913677324, 2.440767913677324, 2.440767913677324, 2.440767913677324, 1.0753265021946095, 2.0682425033440586, 1.0706370167924948, 3.069595593728633, 2.069624350800485, 1.0696352286897066, 0.06964586922306948, -0.9303452337532883, 0.06961820847713573, -0.9303387399404537]","[0.27961604316133787, -1, -1, -1, 0.6827207057413573, 0.9929160011494493, 0.997605486551564, 0.9994792884680692, 0.9999712429281485, 0.999989122110778, 0.9999893594666371, 0.9999911029763578, 0.9999634422304241, 0.9999569484175895]","[4, 5, 3, 4, 5, 6, 7, 6, 7, 8, 10, 11, 10, 8, 6]","[0, -0.997605486551564, 1.0013530903845744, 0.0013818474564258887, -0.9986072746543521, -1.998596634120989, -2.998587737097347, -1.9986242948669228, -2.9985812432845123, -3.99856666740303, -5.997964407925528, -6.99794058490348, -5.999734943865636, -5.999734943865636, -4.066322134263556]","[0.997605486551564, 0.9994792884680692, 0.9999712429281485, 0.999989122110778, 0.9999893594666371, 0.9999911029763578, 0.9999634422304241, 0.9999569484175895, 0.9999854241185175, 0.9996988702612488, 0.999976176977952, 0.9982056410378436, -1, 0.9667064048010402]"
"[0, -1, 1, 0, 1, -1, -2, -1, -2, 0, -2, -1, -2, -1, -2]","[2, 2.999970579223927, 1.0010133290431584, 1.998618153460724, 1.0057028113327375, 1.6884230639364701, 1.6884230639364701, 1.6884230639364701, 1.6884230639364701, 1.6884230639364701, 1.968038922105426, 1.968038922105426, 2.457065237621767, 2.0277367411434146, 2.0277367411434146]","[0.9999705792239267, 0.9994786250903841, 0.9976048244175654, 0.9929153421279864, 0.6827202526037325, -1, -1, -1, -1, 0.279615858168956, -1, 0.489026315516341, 0.4293284964783526, -1]","[4, 3, 2, 3, 2, 1, 0, -1, 1, 0, 1, -1, -2, -1, -2]","[-2, -1.0000152395957338, -5.8954873495498106e-05, -1.0000217334042651, -3.129414592040192e-05, 0.999957401603861, 1.9999458599979443, 2.999916439221871, 1.0009591890411027, 1.998564013458668, 1.0056486713306816, 1.688368923934414, 1.688368923934414, 1.688368923934414, 1.688368923934414]","[0.9999847604042662, 0.9999562847222384, 0.9999627785307696, 0.9999904392583449, 0.9999886957497813, 0.9999884583940835, 0.9999705792239267, 0.9994786250903841, 0.9976048244175654, 0.9929153421279864, 0.6827202526037325, -1, -1, -1]","[-3, -2, 0, 2, 4, 5, 4, 5, 3, 4, 5, 6, 7, 6, 7]","[3, 2.440768283662088, 2.440768283662088, 2.440768283662088, 2.440768283662088, 1.0753277784546231, 2.0682431205826095, 1.0706382961650442, 3.0695955463458127, 2.069624967121886, 1.0696365087278021, 0.0696478129780207, -0.930342626280324, 0.0696201522504456, -0.9303361324717927]","[0.279615858168956, -1, -1, -1, 0.6827202526037325, 0.9929153421279864, 0.9976048244175654, 0.9994786250903841, 0.9999705792239267, 0.9999884583940835, 0.9999886957497813, 0.9999904392583449, 0.9999627785307696, 0.9999562847222384]","[4, 5, 3, 4, 5, 6, 7, 6, 7, 8, 10, 11, 10, 8, 6]","[0, -0.9976048244175654, 1.0013524257632027, 0.0013818465392759771, -0.9986066118548075, -1.9985953076045888, -2.9985857468629336, -1.998622968332164, -2.998579253054402, -3.9985640134586684, -5.997960426933039, -6.997935940202866, -5.999730961698013, -5.999730961698013, -4.066319435410882]","[0.9976048244175654, 0.9994786250903841, 0.9999705792239267, 0.9999884583940835, 0.9999886957497813, 0.9999904392583449, 0.9999627785307696, 0.9999562847222384, 0.9999847604042662, 0.9996982067371856, 0.9999755132698265, 0.9982049785048523, -1, 0.9667057631435659]"
"[-3, -5, -4, -5, -7, -6, -5, -3, -2, -4, -5, -4, -5, -6, -8]","[7, 8.951524567467732, 7.952428502530027, 8.951173069893617, 10.88676559675629, 10.22478093237073, 10.017861852622392, 9.583502994162433, 9.583502994162433, 10.028725910820363, 10.254228148497262, 10.254228148497262, 10.254228148497262, 10.254228148497262, 10.254228148497262]","[0.9757622837338665, 0.9990960649377063, 0.9987445673635893, 0.9677962634313364, 0.6619846643855584, 0.20691907974833826, 0.21717942922997904, -1, 0.2226114583289642, 0.22550223767689986, -1, -1, -1, -1]","[-4, -5, -3, -4, -6, -5, -3, -5, -4, -5, -7, -6, -5, -3, -2]","[4, 4.995382158000345, 4.995382158000345, 5.991232218345235, 7.988522208252738, 6.994400852424885, 6.994400852424885, 8.945925419892617, 7.946829354954912, 8.945573922318502, 10.881166449181174, 10.219181784795616, 10.012262705047277, 9.577903846587319, 9.577903846587319]","[0.9953821580003449, -1, 0.9958500603448899, 0.9986449949537518, 0.9941213558278532, -1, 0.9757622837338665, 0.9990960649377063, 0.9987445673635893, 0.9677962634313364, 0.6619846643855584, 0.20691907974833826, 0.21717942922997904, -1]","[-4, -6, -7, -5, -7, -8, -6, -7, -9, -10, -8, -7, -8, -6, -7]","[7, 7.434358858459958, 7.6412779382082965, 7.6412779382082965, 7.6412779382082965, 7.6412779382082965, 7.6412779382082965, 7.6412779382082965, 7.6412779382082965, 8.303262602593854, 6.367670075731182, 5.368925508367592, 6.368021573305299, 4.416497005837566, 4.416497005837566]","[0.21717942922997904, 0.20691907974833826, -1, -1, -1, -1, -1, -1, 0.6619846643855584, 0.9677962634313364, 0.9987445673635893, 0.9990960649377063, 0.9757622837338665, -1]","[-6, -7, -9, -10, -8, -7, -8, -6, -7, -8, -6, -5, -4, -2, -4]","[10, 10, 10, 10.661984664385558, 8.726392137522886, 7.727647570159297, 8.726743635097003, 6.775219067629269, 6.775219067629269, 7.769340423457123, 5.772050433549619, 4.77620037320473, 3.780818215204385, 1.7886831861739036, 3.664723971188309]","[-1, -1, 0.6619846643855584, 0.9677962634313364, 0.9987445673635893, 0.9990960649377063, 0.9757622837338665, -1, 0.9941213558278532, 0.9986449949537518, 0.9958500603448899, 0.9953821580003449, 0.9960675145152404, 0.9380203925072028]"
